id,lastname,firstname,state,chamber,icpsr,bioname
05646,SCOTT,OWEN,IL,House,8310,"SCOTT, Owen"
07670,WATSON,THOMAS,GA,House,9877,"WATSON, Thomas Edward"
05579,CUTTING,JOHN,CA,House,2291,"CUTTING, John Tyler"
05539,AMERMAN,LEMUEL,PA,House,151,"AMERMAN, Lemuel"
06707,MEYER,ADOLPH,LA,House,6448,"MEYER, Adolph"
05705,BRETZ,JOHN,IN,House,1012,"BRETZ, John Lewis"
05681,WINN,THOMAS,GA,House,10276,"WINN, Thomas Elisha"
06816,LIVINGSTON,LEONIDAS,GA,House,5717,"LIVINGSTON, Leonidas Felix"
05800,LYNCH,THOMAS,WI,House,5856,"LYNCH, Thomas"
05543,BABBITT,CLINTON,WI,House,311,"BABBITT, Clinton"
05984,MOSES,CHARLES,GA,House,6749,"MOSES, Charles Leavell"
05650,SNOW,HERMAN,IL,House,8729,"SNOW, Herman Wilber"
05659,STOUT,BYRON,MI,House,9001,"STOUT, Byron Gray"
05740,DURBOROW,ALLAN,IL,House,2785,"DURBOROW, Allan Cathcart, Jr."
05626,NEWBERRY,WALTER,IL,House,6891,"NEWBERRY, Walter Cass"
06249,POWERS,HORACE,VT,House,7580,"POWERS, Horace Henry"
05609,JOHNSTONE,GEORGE,SC,House,5015,"JOHNSTONE, George"
05809,MCKAIG,WILLIAM,MD,House,6283,"McKAIG, William McMahon"
05873,WOLVERTON,SIMON,PA,House,10316,"WOLVERTON, Simon Peter"
06059,BRODERICK,CASE,KS,House,1056,"BRODERICK, Case"
05630,OTIS,JOHN,KS,House,7110,"OTIS, John Grant"
05583,DOAN,ROBERT,OH,House,2626,"DOAN, Robert Eachus"
05682,YOUMANS,HENRY,MI,House,10434,"YOUMANS, Henry Melville"
05584,DUNGAN,JAMES,OH,House,2764,"DUNGAN, James Irvine"
05795,LAPHAM,OSCAR,RI,House,5474,"LAPHAM, Oscar"
06764,DE ARMOND,DAVID,MO,House,2453,"DE ARMOND, David Albaugh"
05718,CAMINETTI,ANTHONY,CA,House,1438,"CAMINETTI, Anthony"
05864,WEADOCK,THOMAS,MI,House,9888,"WEADOCK, Thomas Addis Emmet"
05735,DE FOREST,ROBERT,CT,House,2462,"DE FOREST, Robert Elliott"
05571,CHEATHAM,HENRY,NC,House,1680,"CHEATHAM, Henry Plummer"
05853,STORER,BELLAMY,OH,House,8992,"STORER, Bellamy"
05667,VAN HORN,GEORGE,NY,House,9617,"VAN HORN, George"
05922,CURTIS,NEWTON,NY,House,2273,"CURTIS, Newton Martin"
05601,HARRIES,WILLIAM,MN,House,4093,"HARRIES, William Henry"
06341,LOUD,EUGENE,CA,House,5784,"LOUD, Eugene Francis"
05648,SEERLEY,JOHN,IA,House,8348,"SEERLEY, John Joseph"
05618,LONG,JOHN,TX,House,5761,"LONG, John Benjamin"
05750,FELLOWS,JOHN,NY,House,3097,"FELLOWS, John R."
05730,COOMBS,WILLIAM,NY,House,2037,"COOMBS, William Jerome"
05548,BENTLEY,HENRY,NY,House,653,"BENTLEY, Henry Wilbur"
05636,PATTON,DAVID,IN,House,7261,"PATTON, David Henry"
06466,MALLORY,STEPHEN,FL,House,5943,"MALLORY, Stephen Russell"
05643,ROCKWELL,HOSEA,NY,House,8002,"ROCKWELL, Hosea Hunt"
05954,KEM,OMER,NE,House,5159,"KEM, Omer Madison"
05585,EVERETT,ROBERT,GA,House,3029,"EVERETT, Robert William"
06657,CRAWFORD,WILLIAM,NC,House,2166,"CRAWFORD, William Thomas"
05863,WAUGH,DANIEL,IN,House,9884,"WAUGH, Daniel Webster"
05721,CAPEHART,JAMES,WV,House,1490,"CAPEHART, James"
05560,BUSEY,SAMUEL,IL,House,1327,"BUSEY, Samuel Thompson"
05723,CAUSEY,JOHN,DE,House,1605,"CAUSEY, John Williams"
05810,MCKEIGHAN,WILLIAM,NE,House,6292,"McKEIGHAN, William Arthur"
05617,LITTLE,JOSEPH,NY,House,5703,"LITTLE, Joseph James"
05764,GRADY,BENJAMIN,NC,House,3729,"GRADY, Benjamin Franklin"
05827,PEARSON,ALBERT,OH,House,7285,"PEARSON, Albert Jackson"
05891,BAKER,WILLIAM,KS,House,373,"BAKER, William"
05564,CABLE,BENJAMIN,IL,House,1381,"CABLE, Benjamin Taylor"
05563,BYRNS,SAMUEL,MO,House,1374,"BYRNS, Samuel"
05610,JOLLEY,JOHN,SD,House,5016,"JOLLEY, John Lawlor"
05552,BOWMAN,THOMAS,IA,House,920,"BOWMAN, Thomas"
05572,CLOVER,BENJAMIN,KS,House,1855,"CLOVER, Benjamin Hutchinson"
